"Thickness(Time), created by Plot Digitizer, 2.6.8"
"Date: 15/01/2020, 14:26:40"


48
Time,Thickness
0.0128866,300,
0.0670103,306.481,
0.172680,302.963,
0.244845,296.852,
0.311856,289.815,
0.378866,280.556,
0.440722,273.704,
0.502577,265.556,
0.564433,258.519,
0.621134,251.667,
0.685567,244.259,
0.744845,236.481,
0.806701,228.889,
0.873711,221.296,
0.951031,213.704,
1.01031,206.852,
1.09794,200.185,
1.17268,193.889,
1.26031,187.963,
1.36082,182.037,
1.45876,178.148,
1.56701,174.444,
1.68041,171.296,
1.79639,170.370,
1.92268,169.444,
2.03866,169.815,
2.16237,170.185,
2.27835,171.481,
2.39691,173.519,
2.52320,175.370,
2.62887,177.778,
2.74742,180.185,
2.86856,183.519,
2.98454,186.481,
3.09021,189.630,
3.20876,192.963,
3.30670,195.926,
3.43041,200,
3.54381,203.333,
3.63144,206.852,
3.74742,211.111,
3.85825,214.444,
3.95876,217.963,
4.08247,222.963,
4.18557,226.111,
4.29381,230.185,
4.40206,234.074,
4.48969,237.963,
