"Temperature_lid(Time), created by Plot Digitizer, 2.6.8"
"Date: 17/01/2020, 13:26:58"


44
Time,Temperature_lid
0.0428280,1569.46,
0.0713800,1588.12,
0.101971,1609.24,
0.138681,1628.60,
0.185588,1648.31,
0.240653,1666.97,
0.299796,1684.57,
0.365058,1702.52,
0.444596,1718.36,
0.536370,1733.85,
0.617947,1745.82,
0.736234,1759.20,
0.832087,1765.88,
0.944256,1772.57,
1.05438,1776.44,
1.16859,1778.56,
1.30320,1779.26,
1.42352,1778.20,
1.53977,1777.50,
1.66417,1773.98,
1.77838,1772.22,
1.90891,1768.00,
2.03331,1764.48,
2.13324,1760.25,
2.26784,1754.97,
2.36982,1751.10,
2.50034,1744.41,
2.60435,1740.89,
2.72468,1735.96,
2.83889,1731.04,
2.96533,1726.11,
3.07546,1721.53,
3.20190,1715.20,
3.30184,1711.67,
3.42420,1706.75,
3.55472,1700.76,
3.65874,1697.59,
3.78926,1692.31,
3.90755,1688.79,
4.01156,1684.22,
4.13188,1679.99,
4.25017,1674.71,
4.36438,1671.19,
4.48267,1666.97,
