-6.70913,9.21053,
-6.42966,9.19925,
-6.11027,8.62406,
-6.01901,8.20677,
-5.95057,8.20677,
-5.83080,7.84586,
-5.75095,7.78947,
-5.71673,7.60902,
-5.68251,7.63158,
-5.60837,7.47368,
-5.57414,7.50752,
-5.42015,7.09023,
-5.39734,7.13534,
-5.34601,7.05639,
-5.26046,7.02256,
-5.23764,6.80827,
-5.19202,6.80827,
-5.13498,6.52632,
-5.07224,6.53759,
-5.04943,6.35714,
-4.99810,6.27820,
-4.99810,6.17669,
-4.94677,6.15414,
-4.90114,5.97368,
-4.87262,5.95113,
-4.81559,5.86090,
-4.80989,5.81579,
-4.72433,5.62406,
-4.68441,5.50000,
-4.61597,5.29699,
-4.48479,4.94737,
-4.38213,4.62030,
-4.33650,4.55263,
